!Siglent Technologies,SHN914A,SHN9AA0CA00022,V1.0.0.2.15.R2
!Date: 2026-09-12 02:42:33
!Channel 1
!Trace1
Frequency,S21(DB),S21(DEG)
1.000000000000e+09,-7.697962247713e+01,8.504197096931e+01
1.040000000000e+09,-8.565888745841e+01,1.778317178155e+02
1.080000000000e+09,-8.631149336948e+01,-2.865075581521e+01
1.120000000000e+09,-9.184901975416e+01,-1.792596881439e+02
1.160000000000e+09,-8.560206319093e+01,1.086346347150e+02
1.200000000000e+09,-9.077696896865e+01,5.093982489053e+01
1.240000000000e+09,-8.856824280758e+01,-3.948783243404e+01
1.280000000000e+09,-8.512654947967e+01,-2.212793188894e+00
1.320000000000e+09,-7.953384786380e+01,-1.387510538405e+02
1.360000000000e+09,-8.347157687556e+01,2.773078720001e+01
1.400000000000e+09,-8.742711050262e+01,1.278123365295e+02
1.440000000000e+09,-8.420816670555e+01,1.202127011358e+02
1.480000000000e+09,-8.162970996919e+01,3.959578640353e+01
1.520000000000e+09,-7.292027912434e+01,3.132589698586e+01
1.560000000000e+09,-7.864902016584e+01,-1.141402157708e+02
1.600000000000e+09,-7.836333435852e+01,7.865478434311e+01
1.640000000000e+09,-8.211662898253e+01,6.927512513961e+01
1.680000000000e+09,-7.801338303410e+01,-8.523210979192e+01
1.720000000000e+09,-8.307686643424e+01,-1.792278583353e+02
1.760000000000e+09,-8.035613220472e+01,9.731301273260e+01
1.800000000000e+09,-8.154811395167e+01,5.470955015640e+01
1.840000000000e+09,-7.461687546197e+01,-4.067310227072e+01
1.880000000000e+09,-7.867688069881e+01,1.106172870367e+02
1.920000000000e+09,-8.152332623033e+01,5.020032335383e+01
1.960000000000e+09,-7.597655553945e+01,-3.565590915690e+01
2.000000000000e+09,-7.664506254363e+01,-6.816256132830e+01
2.040000000000e+09,-7.495352694377e+01,-1.692633553110e+02
2.080000000000e+09,-7.595039294119e+01,7.037014297211e+01
2.120000000000e+09,-7.276549077560e+01,-1.525632272830e+02
2.160000000000e+09,-7.930071878430e+01,5.539351843140e+01
2.200000000000e+09,-8.127555062793e+01,-1.192834871372e+02
2.240000000000e+09,-7.133825715959e+01,1.342967345122e+02
2.280000000000e+09,-7.064452819030e+01,-4.665671502155e+01
2.320000000000e+09,-6.699919858207e+01,1.530167477343e+02
2.360000000000e+09,-6.453222532213e+01,-3.032420902873e+01
2.400000000000e+09,-6.062153051343e+01,1.629976797969e+02
2.440000000000e+09,-5.464225294563e+01,-3.001775197151e+00
2.480000000000e+09,-4.955408893532e+01,-1.732972791025e+02
2.520000000000e+09,-4.246716392526e+01,3.171469440911e+01
2.560000000000e+09,-3.407835553096e+01,-1.488813155510e+02
2.600000000000e+09,-2.358763249974e+01,3.994983668388e+01
2.640000000000e+09,-1.035299609100e+01,1.714564579143e+02
2.680000000000e+09,-7.491791495653e+00,-7.687981429012e+01
2.720000000000e+09,-5.675353178669e+00,6.242602655578e+01
2.760000000000e+09,-5.168458717007e+00,-1.525226302021e+02
